key	en_us	zh_cn	zh_tw	zh_hk	ja_jp
accessibility.onboarding.accessibility.button	Accessibility Settings...	辅助功能设置…	協助工具設定...	無障礙功能設定⋯⋯	アクセシビリティ設定…
accessibility.onboarding.accessibility.button.narration	Accessibility Settings	辅助功能设置	協助工具設定	無障礙功能設定	アクセシビリティ設定
accessibility.onboarding.screen.narrator	Press enter to enable the narrator	按下Enter键启用复述功能	按下 Enter 以啟用朗讀功能	按 Enter 啟用朗讀功能	Enterを押すと音声読み上げが有効になります
accessibility.onboarding.screen.title	Welcome to Minecraft!

Would you like to enable the Narrator or visit the Accessibility Settings?	欢迎进入Minecraft！

需要启用复述功能或访问辅助功能设置吗？	歡迎遊玩 Minecraft！

需要啟用朗讀功能或是調整協助工具設定嗎？	歡迎蒞臨 Minecraft！

你想啟用朗讀功能抑或調整無障礙功能設定？	Minecraftへようこそ！

ここでは、音声読み上げの有効・無効の設定と、アクセシビリティ設定画面への移動ができます。
addServer.add	Done	完成	完成	完成	完了
addServer.enterIp	Server Address	服务器地址	伺服器位址	伺服器地址	サーバーアドレス
addServer.enterName	Server Name	服务器名称	伺服器名稱	伺服器名稱	サーバー名
addServer.resourcePack	Server Resource Packs	服务器资源包	伺服器資源包	伺服器資源包	サーバーリソースパック
addServer.resourcePack.disabled	Disabled	禁用	已停用	已停用	無効
addServer.resourcePack.enabled	Enabled	启用	已啟用	已啟用	有効
addServer.resourcePack.prompt	Prompt	询问	提示	詢問	毎回確認
addServer.title	Edit Server Info	编辑服务器信息	編輯伺服器資訊	編輯伺服器資訊	サーバー情報の編集
advancement.advancementNotFound	Unknown advancement: %s	未知的进度：%s	未知的進度：%s	未知進度：%s	不明な進捗です：%s
advancements.adventure.adventuring_time.description	Discover every biome	发现所有的生物群系	發現每個生態域	發現每個生物羣落	すべての種類のバイオームを発見する
advancements.adventure.adventuring_time.title	Adventuring Time	探索的时光	探險時光	探險時光	冒険の時間
advancements.adventure.arbalistic.description	Kill five unique mobs with one crossbow shot	用弩一发击杀五种生物	用弩一擊射殺五種生物	用弩一擊射殺五種生物	5種類のMobをクロスボウを使って一度に倒す
advancements.adventure.arbalistic.title	Arbalistic	劲弩手	重弩手	重弩手	クロスボウの達人
advancements.adventure.avoid_vibration.description	Sneak near a Sculk Sensor or Warden to prevent it from detecting you	在幽匿感测体或监守者周围潜行以防被它们探测到	在伏聆振測器或伏守者附近潛行以避免被偵測	在沉靈感測器或沉靈守衞周圍潛行以防止被檢測到	スカルクセンサーまたはウォーデンの近くでスニークして感知されないようにする
advancements.adventure.avoid_vibration.title	Sneak 100	潜行100级	潛行力 100	潛行力 100	スニーク100
advancements.adventure.blowback.description	Kill a Breeze with a deflected Breeze-shot Wind Charge	反弹旋风人的风弹来击杀旋风人	反彈旋風使者的風彈來擊殺它	反彈旋風使者的風彈以擊殺旋風使者	ブリーズの放ったウィンドチャージを打ち返して倒す
advancements.adventure.blowback.title	Blowback	逆风翻盘	逆風翻盤	針「風」相對	逆風
advancements.adventure.brush_armadillo.description	Get Armadillo Scutes from an Armadillo using a Brush	用刷子从犰狳身上获得犰狳鳞甲	使用刷子從犰狳身上取得犰狳鱗甲	用毛刷在犰狳身上得到犰狳鱗甲	アルマジロにブラシを使い、アルマジロのウロコを手に入れる
advancements.adventure.brush_armadillo.title	Isn't It Scute?	这不是鳞甲么？	莫非這是鱗甲？	呢個就係鱗甲？	可鱗でしょう？
advancements.adventure.bullseye.description	Hit the bullseye of a Target block from at least 30 meters away	从至少30米外射中标靶的靶心	從至少30公尺外擊中標靶的靶心	從至少 30 米外擊中標靶靶心	30m以上離れた場所から的の中心を射抜く
advancements.adventure.bullseye.title	Bullseye	正中靶心	正中紅心	精準命中	的中
advancements.adventure.craft_decorated_pot_using_only_sherds.description	Make a Decorated Pot out of 4 Pottery Sherds	用4个陶片制作饰纹陶罐	將四塊陶器碎片組成飾紋陶罐	用 4 個陶罐碎片製作裝飾陶罐	4つの壺の欠片から飾り壺を作る
advancements.adventure.craft_decorated_pot_using_only_sherds.title	Careful Restoration	精修细补	精修細補	精修細補	丁寧な修復作業
advancements.adventure.crafters_crafting_crafters.description	Be near a Crafter when it crafts a Crafter	靠近一个正在合成合成器的合成器	靠近一台正在合成合成器的合成器	靠近一部正在合成合成器的合成器	自動作業台が自動作業台を作る様子を観察する
advancements.adventure.crafters_crafting_crafters.title	Crafters Crafting Crafters	合成器合成合成器	合成器合成合成器	合成器合成合成器	自動作業台製自動作業台
advancements.adventure.fall_from_world_height.description	Free fall from the top of the world (build limit) to the bottom of the world and survive	从世界顶部（建筑高度限制处）自由落体，坠至世界底部并存活下来	從世界的最高處（建築高度限制）落至底部並存活	由世界頂部（建築高度上限處）自由落體，跌至其底部後成功生還	ワールドの頂上（限界高度）からワールドの底へ落下し、生き残る
advancements.adventure.fall_from_world_height.title	Caves & Cliffs	上天入地	洞穴與山崖	上天入地	洞窟と崖
advancements.adventure.heart_transplanter.description	Place a Creaking Heart with the correct alignment between two Pale Oak Log blocks	将嘎枝之心以正确朝向放在两个苍白橡木原木方块中间	將嘎枝之心以正確方向放置在兩個蒼白橡木原木之間	將異響之心依照正確朝向置於兩塊蒼白橡木原木之間	クリーキングの心臓を2つのペールオークの原木の間に正しい向きで配置する
advancements.adventure.heart_transplanter.title	Heart Transplanter	移心接木	移心接木	移「心」接木	心臓移植者
advancements.adventure.hero_of_the_village.description	Successfully defend a village from a raid	成功在袭击中保卫村庄	成功在突襲中守住村莊	成功在襲擊之中保護村莊	襲撃から村を守る
advancements.adventure.hero_of_the_village.title	Hero of the Village	村庄英雄	村莊英雄	村莊英雄	村の英雄
advancements.adventure.honey_block_slide.description	Jump into a Honey Block to break your fall	跳入蜂蜜块以缓冲摔落	跳向蜂蜜塊安全滑落地面	跳入蜜糖塊之後安全滑落到地面	ハチミツブロックに飛び込み、落下を阻止する
advancements.adventure.honey_block_slide.title	Sticky Situation	胶着状态	陷入膠著	黐𥹉𥹉狀態	べとべとな状況
advancements.adventure.kill_a_mob.description	Kill any hostile monster	杀死任意敌对性怪物	殺死任何敵對怪物	殺死任意一種敵對生物	敵対的なモンスターを倒す
advancements.adventure.kill_a_mob.title	Monster Hunter	怪物猎人	魔物獵人	怪物獵人	モンスターハンター
advancements.adventure.kill_all_mobs.description	Kill one of every hostile monster	杀死每一种敌对性怪物	殺死每種敵對怪物各一隻	殺死每種敵對生物	すべての種類の敵対的なモンスターを倒す
advancements.adventure.kill_all_mobs.title	Monsters Hunted	资深怪物猎人	獵取怪物	怪物獵人大師	モンスター狩りの達人
advancements.adventure.kill_mob_near_sculk_catalyst.description	Kill a mob near a Sculk Catalyst	在幽匿催发体附近杀死生物	在伏聆觸媒旁殺死生物	在沉靈催發器附近殺死生物	スカルクカタリストの近くでMobを倒す
advancements.adventure.kill_mob_near_sculk_catalyst.title	It Spreads	它蔓延了	它蔓延了	佢蔓延咗	「それ」は侵食する
