Term	Translation	Remark	Source
Shaped	有序		
Shaped Crafting	有序合成		
Shaped Recipe	有序配方	配方类型	
Shapeless	无序		
Shapeless Crafting	无序合成		
Shapeless Recipe	无序配方	配方类型	
Waterlogging	含水	不完整方块中存在水的机制	
Recipe	配方	引导新玩家游玩Minecraft的方式，通过帮助玩家了解合成、烧炼以及其他的方块和物品转化方式来使玩家熟悉游戏。
Crafting	合成	在Minecraft中获得多种方块、工具和其他资源的方法	
Smelt	烧炼	概括	
Smelt	冶炼	矿物	
Smelt	烧制	普通	
Smelt	烹饪	食物	
Hardness	硬度	决定了方块需要多长时间才能被挖掘	
Breaking	破坏		
Breaking/Digging/Mining/Punching	挖掘	玩家破坏方块的基本方式	
Digging Speed	挖掘速度		
Breeding	繁殖	允许动物间繁殖出新个体的游戏机制	
Brewing	药水酿造	在酿造台中往水瓶里加入各种材料而制作药水、喷溅药水和滞留药水的过程。	
Farming	生产	有目的、系统性地获取可再生资源的活动
Blocking	防御	允许玩家对攻击作出抵挡的游戏机制	
Dual wield	双持	能让玩家的两只手同时持有物品或方块的游戏机制	
Sneaking	潜行	可以帮助玩家躲避敌人、免于摔落等的游戏机制	
Sprinting	疾跑	允许玩家通过消耗饥饿来换取更快速度的移动方式	
Item durability	物品耐久	部分物品的一项属性，限制了物品的使用次数	
Durability	耐久/耐久度		
Experience Level	经验等级	“经验”的构成之一	
Experience Point/EXP/XP	经验值	“经验”的构成之一	
Experience	经验	玩家在战斗和生产活动中获得的可消耗资源	
Oxygen/Air	氧气值		
Drown	溺水	生物长时间不能呼吸后出现的情况
Dryout	脱水	生物长时间不能呼吸后出现的情况
Hunger	饥饿	代表玩家进食需求的指标，是生存模式中随玩家活动而消耗的重要资源	
Hunger Value	饥饿值	玩家实体数据中的变量`foodLevel`	
Saturation	饱和度	玩家实体数据中的变量`foodSaturationLevel`	
Exhaustion	消耗度	玩家实体数据中的变量`foodExhaustionLevel`	
Health	生命	生物的基础生命健康	
Armor	护甲值	使生物受到的伤害降低的防护机制之一	
Armor Toughness	盔甲韧性	使生物受到的伤害降低的防护机制之一	
Ore Dictionary(OreDict)	矿物词典		Forge
Coordinates	坐标	反映了玩家在世界中的位置	
Tag	标签	允许玩家使用JSON文件将游戏资源分组	
Named Binary Tag/NBT	NBT/NBT格式	Minecraft中用于向文件中存储数据的一种存储格式	
Data Values	数据值	决定了Java版内不同种类的方块和物品（Java 1.13+）	
Target Selector	目标选择器	可在无需指定确切的玩家名称或UUID的情况下在命令中选择任意玩家与实体	
Feature	地物	在地形生成后在每个区块生成的装饰性方块结构	
Advancement	进度	是用来逐步引导新手玩家融入Minecraft，并给玩家提供挑战的系统	
Achievement	成就	是Java版中已移除的挑战系统，由进度取代	
Particle	粒子	是Minecraft中一种特殊的图形效果，在特定事件发生（比如爆炸、降雨、用熔炉进行烧炼）时出现	
Glint	光效	附魔后赋予盔甲、工具、武器以及书等物品	
Command	命令	输入特定文本字符串而激活的高级功能	
Toast	弹窗	出现在游戏画面上的右上角[仅Java版]或顶部[仅基岩版]的临时性文本框	
Notification	通知	出现在游戏画面上的右上角[仅Java版]或顶部[仅基岩版]的临时性文本框	
Actionbar	动作栏		
Client	客户端		
Server	服务端，服务器		
Realms	Realm/领域服	是官方的订阅式服务器托管服务	
Menu Screen	菜单屏幕		
Main Hand	主手		
Off Hand	副手		
Building Blocks	建筑方块	创造模式标签栏中的创造标签页	
Decoration Blocks	装饰性方块	创造模式标签栏中的创造标签页	
Redstone	红石	创造模式标签栏中的创造标签页	
Transportation	交通运输	创造模式标签栏中的创造标签页	
Miscellaneous	杂项	创造模式标签栏中的创造标签页	
Foodstuffs	食物	创造模式标签栏中的创造标签页	
Tools	工具	创造模式标签栏中的创造标签页	
Combat	战斗用品	创造模式标签栏中的创造标签页	
Brewing	酿造	创造模式标签栏中的创造标签页	
Saved Hotbars	已保存的快捷栏	创造模式标签栏中的创造标签页	
Survival Inventory	生存模式物品栏	创造模式标签栏中的创造标签页	
Creative Inventory	创造模式物品栏	是创造模式的玩家无限获取物品的基本方式	
Colored Blocks	染色方块	创造模式标签栏中的创造标签页	
Natural Blocks	自然方块	创造模式标签栏中的创造标签页	
Functional Blocks	功能方块	创造模式标签栏中的创造标签页	
Redstone Blocks	红石方块	创造模式标签栏中的创造标签页	
Tools & Utilities	工具与实用物品	创造模式标签栏中的创造标签页	
Food & Drinks	食品与饮品	创造模式标签栏中的创造标签页	
Ingredients	原材料	创造模式标签栏中的创造标签页	
Spawn Eggs	刷怪蛋	创造模式标签栏中的创造标签页	
Operator Utilities	管理员用品	创造模式标签栏中的创造标签页	
Block	方块	Minecraft里最基本的组成单位	
Item	物品	是只会出现在玩家的物品栏和手上的物体，它们不能在游戏的世界中直接放置	
Tools	工具	是一种能让玩家的动作更快速、便捷、收集无法用手获得的资源、获得信息，或是其他活动的物品	
Armor	盔甲	是可由生物穿戴的物品，分为头盔、胸甲、护腿和靴子4种，有不同的盔甲材料种类	
GUI/Gui	GUI		
HUD	HUD/平视显示器	是玩家用于检测自身健康和游戏状态的直接方式，叠加在玩家在游戏中的视野上	
Creative Tab	创造标签页		
Mob	生物	是指游戏世界中有生命的、可自主移动的一类实体	
Monster	怪物		
Entity	实体		
Player	玩家		
Machine	机器		
Solid	固体		
Liquid	液体		
Gas	气体		
Fluid	流体		
Equipment	装备		
Spawn	生成		
Overworld	主世界	是Minecraft玩家的游戏征途开始时所在的维度	
Nether	下界	是Minecraft玩家的游戏征途开始时所在的维度。	
End	末地	整个维度都是由末地石构成的浮空岛，可通过进入要塞中的末地传送门到达。	
Dimension	维度	Minecraft中平行世界的称谓	
Biome	生物群系	Minecraft世界中形态各异的地区，有着多样的地理特征、植物群、海拔高度、温度、湿度及天空、水域和植被颜色	
Chunk	区块	Minecraft世界里一个大小为16×16的区域	
Void	虚空	世界之外的区域	
The Void	虚空	是一种空白的生物群系	
Inventory	物品栏	玩家，生物	
Inventory	物品缓存	机器	
Filter	过滤器	可酿造的物品，使用后会给使用者一些特殊的、有时间限制的效果	
Potion	药水		
Effect	效果		
Enchantment	魔咒	名词	
Enchantment	附魔	Enchant的名词	
Enchantability	可附魔性		
Level	等级		
Fuel	燃料		
Damage value	损害值		
Current	电流		Nuclear Science etc
Voltage	电压		Nuclear Science etc
Bookmark	书签		Patchouli etc
Slot	槽位		PSI etc
Grid	网格		Building Gadgets etc
Setting	设置		
Option	选项		
Debug screen	调试屏幕		
Config/Configuration	配置		
Mk/mk	型		ProjectE
Mode	模式		Any
Input	输入，原料		Any
Output	输出，产物		Any
Redstone Signal	红石信号		
Attributes	属性		Wings etc
Modifier	强化		Tinkers’ Construct
Modifier	修饰符		
Rotational Force	旋转力		Create
Energy	电量，电		Industrial Craft 2 etc
Energy	能量		Mekanism etc
Tick	刻	名词	
Stack	组	量词	
Stack	堆叠	动词	
Bug	漏洞		
Blockstate	方块状态		
TileEntity/Block Entity	TileEntity/方块实体		
Tooltip	(?)提示文本/提示框		
Forge Energy/Forge Unit/Forge Power	FE能量	英文单位与汉字之间没有空格，该翻译应用于任何指代 `net.forge.energy` 的名称	Forge
Resource Pack	资源包		
Data Pack	数据包		
Texture Pack	纹理包		
Loot table	战利品表		
Splash	闪烁标语		
Texture	纹理		
Save	保存		
Confirm	确定		
Discard	放弃		
Add	添加		
Delete	删除		
Remove	移除		
Click	点击		
Right Click	右击		
Activate/Active	激活		
Deactivate/Inactive	禁用		
Enable	启用		
Disable	禁用	选项	
Enable	开启	其它	
Disable	关闭	其它	
Toggle	切换，激活		
Allow	允许		
True	是		
False	否		
Always	总是		
Only	仅		
Back	返回		
Return	返回		
Pick Up	拾取		
Configure	配置		
Wear	戴	头盔、帽子	
Wear	穿	其它装备	
Done	完成		
Preset	预设		
Black	黑色		
Red	红色		
Green	绿色		
Brown	棕色		
Blue	蓝色		
Purple	紫色		
Cyan	青色		
